filename,easting_km,northing_km
dop20rgb_32_464_5480_1_bw_2024.tif,464,5480
dop20rgb_32_464_5481_1_bw_2024.tif,464,5481
dop20rgb_32_464_5482_1_bw_2024.tif,464,5482
dop20rgb_32_464_5483_1_bw_2024.tif,464,5483
dop20rgb_32_464_5484_1_bw_2024.tif,464,5484
dop20rgb_32_464_5485_1_bw_2024.tif,464,5485
dop20rgb_32_464_5486_1_bw_2024.tif,464,5486
dop20rgb_32_464_5487_1_bw_2024.tif,464,5487
dop20rgb_32_464_5488_1_bw_2024.tif,464,5488
dop20rgb_32_464_5489_1_bw_2024.tif,464,5489
dop20rgb_32_464_5490_1_bw_2024.tif,464,5490
dop20rgb_32_465_5472_1_bw_2024.tif,465,5472
dop20rgb_32_465_5473_1_bw_2024.tif,465,5473
dop20rgb_32_465_5474_1_bw_2024.tif,465,5474
dop20rgb_32_465_5475_1_bw_2024.tif,465,5475
dop20rgb_32_465_5476_1_bw_2024.tif,465,5476
dop20rgb_32_465_5477_1_bw_2024.tif,465,5477
dop20rgb_32_465_5478_1_bw_2024.tif,465,5478
dop20rgb_32_465_5479_1_bw_2024.tif,465,5479
dop20rgb_32_465_5480_1_bw_2024.tif,465,5480
dop20rgb_32_465_5481_1_bw_2024.tif,465,5481
dop20rgb_32_465_5482_1_bw_2024.tif,465,5482
dop20rgb_32_465_5483_1_bw_2024.tif,465,5483
dop20rgb_32_465_5484_1_bw_2024.tif,465,5484
dop20rgb_32_465_5485_1_bw_2024.tif,465,5485
dop20rgb_32_465_5486_1_bw_2024.tif,465,5486
dop20rgb_32_465_5487_1_bw_2024.tif,465,5487
dop20rgb_32_465_5488_1_bw_2024.tif,465,5488
dop20rgb_32_465_5489_1_bw_2024.tif,465,5489
dop20rgb_32_466_5472_1_bw_2024.tif,466,5472
dop20rgb_32_466_5473_1_bw_2024.tif,466,5473
dop20rgb_32_466_5474_1_bw_2024.tif,466,5474
dop20rgb_32_466_5475_1_bw_2024.tif,466,5475
dop20rgb_32_466_5476_1_bw_2024.tif,466,5476
dop20rgb_32_466_5477_1_bw_2024.tif,466,5477
dop20rgb_32_466_5478_1_bw_2024.tif,466,5478
dop20rgb_32_466_5479_1_bw_2024.tif,466,5479
dop20rgb_32_466_5480_1_bw_2024.tif,466,5480
dop20rgb_32_466_5481_1_bw_2024.tif,466,5481
dop20rgb_32_466_5482_1_bw_2024.tif,466,5482
dop20rgb_32_466_5483_1_bw_2024.tif,466,5483
dop20rgb_32_466_5484_1_bw_2024.tif,466,5484
dop20rgb_32_466_5485_1_bw_2024.tif,466,5485
dop20rgb_32_466_5486_1_bw_2024.tif,466,5486
dop20rgb_32_466_5487_1_bw_2024.tif,466,5487
dop20rgb_32_467_5472_1_bw_2024.tif,467,5472
dop20rgb_32_467_5473_1_bw_2024.tif,467,5473
dop20rgb_32_467_5474_1_bw_2024.tif,467,5474
dop20rgb_32_467_5475_1_bw_2024.tif,467,5475
dop20rgb_32_467_5476_1_bw_2024.tif,467,5476
dop20rgb_32_467_5477_1_bw_2024.tif,467,5477
dop20rgb_32_467_5478_1_bw_2025.tif,467,5478
dop20rgb_32_467_5479_1_bw_2025.tif,467,5479
dop20rgb_32_467_5480_1_bw_2025.tif,467,5480
dop20rgb_32_467_5481_1_bw_2025.tif,467,5481
dop20rgb_32_467_5482_1_bw_2025.tif,467,5482
dop20rgb_32_467_5483_1_bw_2025.tif,467,5483
dop20rgb_32_467_5484_1_bw_2025.tif,467,5484
dop20rgb_32_467_5485_1_bw_2025.tif,467,5485
dop20rgb_32_467_5486_1_bw_2025.tif,467,5486
dop20rgb_32_468_5472_1_bw_2024.tif,468,5472
dop20rgb_32_468_5473_1_bw_2024.tif,468,5473
dop20rgb_32_468_5474_1_bw_2024.tif,468,5474
dop20rgb_32_468_5475_1_bw_2024.tif,468,5475
dop20rgb_32_468_5476_1_bw_2024.tif,468,5476
dop20rgb_32_468_5477_1_bw_2024.tif,468,5477
dop20rgb_32_468_5478_1_bw_2025.tif,468,5478
dop20rgb_32_468_5479_1_bw_2025.tif,468,5479
dop20rgb_32_468_5480_1_bw_2025.tif,468,5480
dop20rgb_32_468_5481_1_bw_2025.tif,468,5481
dop20rgb_32_468_5482_1_bw_2025.tif,468,5482
dop20rgb_32_468_5483_1_bw_2025.tif,468,5483
dop20rgb_32_468_5484_1_bw_2025.tif,468,5484
dop20rgb_32_468_5485_1_bw_2025.tif,468,5485
dop20rgb_32_469_5472_1_bw_2024.tif,469,5472
dop20rgb_32_469_5473_1_bw_2024.tif,469,5473
dop20rgb_32_469_5474_1_bw_2024.tif,469,5474
dop20rgb_32_469_5475_1_bw_2024.tif,469,5475
dop20rgb_32_469_5476_1_bw_2025.tif,469,5476
dop20rgb_32_469_5477_1_bw_2025.tif,469,5477
dop20rgb_32_469_5478_1_bw_2025.tif,469,5478
dop20rgb_32_469_5479_1_bw_2025.tif,469,5479
